match_id,match_seq_num,radiant_win,start_time,duration,lobby_type,game_mode,avg_rank_tier,num_rank_tier,cluster,radiant_team,dire_team,radiant_team_sorted,dire_team_sorted
8523648402,7159293189,True,1761157620,1116,7,22,75,7,182,"[53, 86, 2, 17, 121]","[94, 14, 110, 47, 105]","[2, 17, 53, 86, 121]","[14, 47, 94, 105, 110]"
8523647701,7159282551,False,1761157589,578,7,22,12,1,181,"[11, 27, 101, 12, 56]","[1, 30, 136, 104, 90]","[11, 12, 27, 56, 101]","[1, 30, 90, 104, 136]"
8523647403,7159288559,True,1761157575,919,7,22,54,3,185,"[104, 101, 11, 6, 64]","[93, 21, 107, 57, 26]","[6, 11, 64, 101, 104]","[21, 26, 57, 93, 107]"
8523646516,7159288615,True,1761157536,943,7,22,75,6,182,"[38, 52, 72, 84, 123]","[20, 93, 128, 36, 40]","[38, 52, 72, 84, 123]","[20, 36, 40, 93, 128]"
8523646415,7159289423,False,1761157531,974,7,22,21,6,184,"[23, 81, 38, 39, 96]","[45, 49, 66, 11, 71]","[23, 38, 39, 81, 96]","[11, 45, 49, 66, 71]"
8523646305,7159292330,False,1761157525,1141,7,22,45,4,182,"[36, 33, 12, 49, 84]","[26, 21, 38, 52, 59]","[12, 33, 36, 49, 84]","[21, 26, 38, 52, 59]"
8523646016,7159291119,True,1761157506,1118,7,22,52,4,185,"[50, 8, 39, 136, 47]","[10, 7, 102, 40, 55]","[8, 39, 47, 50, 136]","[7, 10, 40, 55, 102]"
8523645914,7159288161,True,1761157480,955,7,22,63,7,227,"[8, 39, 86, 93, 17]","[4, 52, 76, 10, 123]","[8, 17, 39, 86, 93]","[4, 10, 52, 76, 123]"
8523643813,7159290997,False,1761157415,1196,0,22,44,1,181,"[65, 35, 68, 79, 81]","[17, 21, 104, 37, 40]","[35, 65, 68, 79, 81]","[17, 21, 37, 40, 104]"
8523643406,7159291170,False,1761157401,1268,0,4,21,2,185,"[64, 87, 14, 23, 7]","[33, 25, 65, 97, 1]","[7, 14, 23, 64, 87]","[1, 25, 33, 65, 97]"
8523643100,7159293363,True,1761157386,1335,7,22,34,4,184,"[90, 30, 10, 2, 120]","[79, 104, 106, 84, 1]","[2, 10, 30, 90, 120]","[1, 79, 84, 104, 106]"
8523643010,7159289925,True,1761157377,1111,7,22,53,7,181,"[84, 14, 23, 70, 59]","[5, 18, 123, 136, 35]","[14, 23, 59, 70, 84]","[5, 18, 35, 123, 136]"
8523641711,7159292556,False,1761157320,1369,0,4,54,5,273,"[37, 2, 126, 12, 36]","[1, 86, 77, 81, 120]","[2, 12, 36, 37, 126]","[1, 77, 81, 86, 120]"
8523641419,7159290094,False,1761157305,1238,7,22,41,8,185,"[97, 26, 111, 113, 48]","[92, 96, 79, 11, 75]","[26, 48, 97, 111, 113]","[11, 75, 79, 92, 96]"
8523640908,7159290493,True,1761157295,1310,7,22,52,5,181,"[28, 74, 136, 14, 91]","[26, 50, 7, 47, 86]","[14, 28, 74, 91, 136]","[7, 26, 47, 50, 86]"
8523640400,7159284206,True,1761157270,1007,7,22,62,6,271,"[75, 14, 12, 101, 74]","[31, 8, 11, 111, 20]","[12, 14, 74, 75, 101]","[8, 11, 20, 31, 111]"
8523639815,7159292499,False,1761157240,1487,7,22,71,3,183,"[70, 87, 96, 13, 71]","[11, 131, 51, 14, 74]","[13, 70, 71, 87, 96]","[11, 14, 51, 74, 131]"
8523639709,7159291149,True,1761157241,1372,7,22,44,5,182,"[94, 51, 11, 110, 38]","[31, 18, 70, 2, 26]","[11, 38, 51, 94, 110]","[2, 18, 26, 31, 70]"
8523639501,7159291653,True,1761157210,1366,7,22,51,4,181,"[11, 91, 136, 121, 81]","[21, 74, 49, 101, 54]","[11, 81, 91, 121, 136]","[21, 49, 54, 74, 101]"
8523639408,7159293318,True,1761157225,1539,7,22,32,6,181,"[59, 11, 62, 145, 131]","[27, 135, 136, 25, 70]","[11, 59, 62, 131, 145]","[25, 27, 70, 135, 136]"
8523638908,7159292794,True,1761157206,1497,7,22,53,3,381,"[2, 123, 40, 1, 48]","[52, 49, 74, 30, 44]","[1, 2, 40, 48, 123]","[30, 44, 49, 52, 74]"
8523637607,7159288194,True,1761157141,1324,7,22,23,3,272,"[61, 14, 75, 40, 30]","[1, 22, 52, 86, 32]","[14, 30, 40, 61, 75]","[1, 22, 32, 52, 86]"
8523636809,7159292961,False,1761157116,1572,7,22,65,7,152,"[82, 31, 7, 27, 29]","[86, 14, 70, 105, 78]","[7, 27, 29, 31, 82]","[14, 70, 78, 86, 105]"
8523636109,7159292093,True,1761157085,1597,7,22,25,5,182,"[28, 80, 88, 136, 91]","[34, 86, 70, 14, 128]","[28, 80, 88, 91, 136]","[14, 34, 70, 86, 128]"
8523636005,7159285872,False,1761157081,1266,7,22,65,6,183,"[11, 51, 68, 1, 2]","[114, 60, 131, 7, 109]","[1, 2, 11, 51, 68]","[7, 60, 109, 114, 131]"
8523636003,7159293054,False,1761157081,1664,0,4,43,4,193,"[94, 27, 128, 91, 1]","[121, 33, 109, 38, 2]","[1, 27, 91, 94, 128]","[2, 33, 38, 109, 121]"
8523635307,7159292091,True,1761157050,1633,7,22,33,3,193,"[42, 26, 75, 43, 135]","[60, 123, 13, 112, 6]","[26, 42, 43, 75, 135]","[6, 13, 60, 112, 123]"
8523634807,7159286377,True,1761157025,1343,7,22,63,4,151,"[111, 128, 49, 8, 106]","[62, 73, 18, 11, 75]","[8, 49, 106, 111, 128]","[11, 18, 62, 73, 75]"
8523634307,7159293210,True,1761157005,1729,7,22,22,4,186,"[61, 44, 14, 123, 7]","[25, 32, 28, 121, 68]","[7, 14, 44, 61, 123]","[25, 28, 32, 68, 121]"
8523633918,7159289212,True,1761156981,1554,7,22,42,6,273,"[102, 30, 8, 35, 110]","[83, 98, 100, 57, 25]","[8, 30, 35, 102, 110]","[25, 57, 83, 98, 100]"
8523633815,7159293068,True,1761156986,1718,0,22,32,1,271,"[113, 85, 30, 48, 63]","[41, 82, 45, 109, 70]","[30, 48, 63, 85, 113]","[41, 45, 70, 82, 109]"
8523633800,7159285879,True,1761156980,1411,0,4,41,6,201,"[84, 129, 119, 32, 35]","[65, 14, 36, 40, 95]","[32, 35, 84, 119, 129]","[14, 36, 40, 65, 95]"
8523633217,7159293344,True,1761156942,1785,0,4,55,2,183,"[80, 72, 3, 6, 39]","[32, 46, 52, 5, 102]","[3, 6, 39, 72, 80]","[5, 32, 46, 52, 102]"
8523633203,7159291778,False,1761156960,1686,7,22,74,8,183,"[38, 11, 41, 100, 50]","[135, 111, 90, 109, 103]","[11, 38, 41, 50, 100]","[90, 103, 109, 111, 135]"
8523633101,7159291609,True,1761156955,1704,7,22,25,4,273,"[28, 85, 39, 27, 6]","[94, 31, 71, 36, 30]","[6, 27, 28, 39, 85]","[30, 31, 36, 71, 94]"
8523633011,7159291054,True,1761156950,1633,7,22,24,1,251,"[40, 138, 93, 42, 74]","[106, 87, 5, 30, 49]","[40, 42, 74, 93, 138]","[5, 30, 49, 87, 106]"
8523632904,7159275737,True,1761156945,904,0,22,12,1,271,"[114, 47, 14, 6, 27]","[12, 91, 23, 111, 35]","[6, 14, 27, 47, 114]","[12, 23, 35, 91, 111]"
8523632717,7159291801,True,1761156931,1713,7,22,44,2,274,"[52, 84, 99, 70, 97]","[44, 21, 53, 136, 93]","[52, 70, 84, 97, 99]","[21, 44, 53, 93, 136]"
8523632602,7159281682,False,1761156935,1230,0,4,32,6,183,"[30, 26, 145, 63, 17]","[81, 70, 57, 50, 64]","[17, 26, 30, 63, 145]","[50, 57, 64, 70, 81]"
8523632519,7159291785,True,1761156931,1734,7,22,44,4,272,"[50, 20, 85, 100, 109]","[36, 1, 27, 75, 28]","[20, 50, 85, 100, 109]","[1, 27, 28, 36, 75]"
8523632113,7159285179,True,1761156910,1427,0,4,12,1,273,"[22, 82, 11, 36, 93]","[65, 44, 32, 18, 47]","[11, 22, 36, 82, 93]","[18, 32, 44, 47, 65]"
8523632008,7159291681,False,1761156895,1778,0,4,22,1,272,"[69, 36, 8, 14, 7]","[38, 123, 73, 64, 54]","[7, 8, 14, 36, 69]","[38, 54, 64, 73, 123]"
8523631906,7159286289,True,1761156897,1444,7,22,31,3,273,"[33, 84, 42, 53, 74]","[35, 1, 2, 9, 26]","[33, 42, 53, 74, 84]","[1, 2, 9, 26, 35]"
8523631818,7159289983,False,1761156900,1668,7,22,43,3,151,"[145, 20, 54, 36, 136]","[101, 40, 8, 81, 128]","[20, 36, 54, 136, 145]","[8, 40, 81, 101, 128]"
8523631800,7159290838,False,1761156900,1727,7,22,73,6,273,"[36, 1, 71, 97, 128]","[27, 14, 48, 13, 138]","[1, 36, 71, 97, 128]","[13, 14, 27, 48, 138]"
8523631601,7159291831,True,1761156891,1681,7,22,23,3,183,"[62, 10, 21, 59, 136]","[91, 22, 98, 8, 27]","[10, 21, 59, 62, 136]","[8, 22, 27, 91, 98]"
8523631600,7159288796,True,1761156891,1611,7,22,42,3,152,"[107, 37, 39, 12, 26]","[84, 4, 13, 85, 53]","[12, 26, 37, 39, 107]","[4, 13, 53, 84, 85]"
8523631509,7159291018,False,1761156886,1705,7,22,34,3,251,"[16, 27, 17, 102, 53]","[26, 21, 70, 88, 8]","[16, 17, 27, 53, 102]","[8, 21, 26, 70, 88]"
